"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Страницы пицц","Добавление в корзину","0","0","6","0","0"
"","Страницы пицц","Переход в корзину","0","0","3","0","0"
"","Главная страница","Добавление товаров в корзину","0","0","3","0","0"
"","Главная страница","Слайдер","0","2","5","5","0"
"","Страницы пицц","Дополнительные опции","0","0","10","0","0"
"","Страницы пицц","Переход на страницу пиццы с главной страницы сайта","0","0","5","0","0"
"","Страницы пицц","Уведомление о добавлении пиццы в корзину","0","0","3","0","0"
"","Корзина","Изменение кол-ва товаров в корзине","0","0","5","0","0"
